PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=325 ttl=116 time=28.1 ms
1408 bytes from 8.8.8.8: icmp_seq=326 ttl=116 time=58.2 ms
1408 bytes from 8.8.8.8: icmp_seq=327 ttl=116 time=35.1 ms
1408 bytes from 8.8.8.8: icmp_seq=328 ttl=116 time=25.3 ms
1408 bytes from 8.8.8.8: icmp_seq=329 ttl=116 time=30.0 ms
1408 bytes from 8.8.8.8: icmp_seq=330 ttl=116 time=28.8 ms
1408 bytes from 8.8.8.8: icmp_seq=331 ttl=116 time=38.3 ms
1408 bytes from 8.8.8.8: icmp_seq=332 ttl=116 time=41.2 ms
1408 bytes from 8.8.8.8: icmp_seq=333 ttl=116 time=46.4 ms
1408 bytes from 8.8.8.8: icmp_seq=334 ttl=116 time=40.5 ms
1408 bytes from 8.8.8.8: icmp_seq=335 ttl=116 time=32.4 ms
1408 bytes from 8.8.8.8: icmp_seq=336 ttl=116 time=31.9 ms
1408 bytes from 8.8.8.8: icmp_seq=337 ttl=116 time=37.7 ms
1408 bytes from 8.8.8.8: icmp_seq=338 ttl=116 time=37.8 ms
1408 bytes from 8.8.8.8: icmp_seq=339 ttl=116 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=340 ttl=116 time=33.3 ms
1408 bytes from 8.8.8.8: icmp_seq=341 ttl=116 time=44.9 ms
1408 bytes from 8.8.8.8: icmp_seq=342 ttl=116 time=37.4 ms
